Brigham Young University,"Brigham Young University Provo, UT 84602"
Cupertino High School,"10100 Finch Avenue Cupertino, CA 95014"
University of Houston,"SEC Auditorium, 3487 Cullen Blvd.  Houston , TX 77204"
